Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-02-12 06:05:00+00:00,22928.400390625,22929.099609375,22895.900390625,22913.400390625,0
2025-02-12 06:10:00+00:00,23009.55078125,23009.55078125,22925.650390625,22928.75,0
2025-02-12 06:15:00+00:00,23004.599609375,23060.099609375,22985.05078125,23010.150390625,0
2025-02-12 06:20:00+00:00,23024.349609375,23025.75,22973.400390625,23004.05078125,0
2025-02-12 06:25:00+00:00,23051.0,23077.400390625,23014.94921875,23024.80078125,0
2025-02-12 06:30:00+00:00,23058.0,23072.94921875,23050.75,23051.30078125,0
2025-02-12 06:35:00+00:00,23033.25,23058.25,23022.80078125,23057.69921875,0
2025-02-12 06:40:00+00:00,23044.400390625,23053.099609375,23031.25,23033.30078125,0
2025-02-12 06:45:00+00:00,23016.099609375,23053.849609375,23011.599609375,23044.900390625,0
2025-02-12 06:50:00+00:00,23015.19921875,23037.75,23013.19921875,23016.099609375,0
2025-02-12 06:55:00+00:00,23016.80078125,23028.75,22997.30078125,23014.5,0
2025-02-12 07:00:00+00:00,23069.5,23087.599609375,23017.05078125,23017.05078125,0
2025-02-12 07:05:00+00:00,23046.75,23072.25,23046.69921875,23068.650390625,0
2025-02-12 07:10:00+00:00,23042.44921875,23062.349609375,23030.650390625,23047.150390625,0
2025-02-12 07:15:00+00:00,23070.30078125,23084.94921875,23045.599609375,23045.599609375,0
2025-02-12 07:20:00+00:00,23066.900390625,23110.5,23066.900390625,23070.25,0
2025-02-12 07:25:00+00:00,23074.900390625,23079.099609375,23056.900390625,23066.099609375,0
2025-02-12 07:30:00+00:00,23067.05078125,23090.400390625,23051.69921875,23074.30078125,0
2025-02-12 07:35:00+00:00,23080.5,23102.650390625,23057.55078125,23067.30078125,0
2025-02-12 07:40:00+00:00,23103.05078125,23119.75,23081.55078125,23081.55078125,0
2025-02-12 07:45:00+00:00,23104.349609375,23113.400390625,23087.150390625,23105.44921875,0
2025-02-12 07:50:00+00:00,23115.5,23125.19921875,23093.0,23103.44921875,0
2025-02-12 07:55:00+00:00,23120.80078125,23126.349609375,23108.150390625,23115.69921875,0
2025-02-12 08:00:00+00:00,23122.599609375,23144.5,23113.599609375,23121.099609375,0
2025-02-12 08:05:00+00:00,23127.099609375,23133.25,23107.900390625,23123.0,0
2025-02-12 08:10:00+00:00,23100.150390625,23130.400390625,23061.900390625,23127.25,0
2025-02-12 08:15:00+00:00,23042.05078125,23101.44921875,23040.30078125,23101.44921875,0
2025-02-12 08:20:00+00:00,23031.69921875,23055.900390625,23029.80078125,23042.150390625,0
2025-02-12 08:25:00+00:00,23001.30078125,23038.80078125,22997.69921875,23032.849609375,0
2025-02-12 08:30:00+00:00,23011.69921875,23020.94921875,22997.349609375,23002.25,0
2025-02-12 08:35:00+00:00,22965.150390625,23031.19921875,22964.599609375,23011.75,0
2025-02-12 08:40:00+00:00,23002.25,23008.25,22964.55078125,22964.599609375,0
2025-02-12 08:45:00+00:00,22998.400390625,23006.94921875,22989.349609375,23002.30078125,0
2025-02-12 08:50:00+00:00,22994.44921875,23030.599609375,22993.44921875,22998.599609375,0
2025-02-12 08:55:00+00:00,22998.25,23005.55078125,22980.75,22994.5,0
2025-02-12 09:00:00+00:00,22976.150390625,22998.650390625,22970.05078125,22998.5,0
2025-02-12 09:05:00+00:00,22971.0,22979.900390625,22956.650390625,22976.05078125,0
2025-02-12 09:10:00+00:00,22991.44921875,23009.349609375,22968.150390625,22971.400390625,0
2025-02-12 09:15:00+00:00,22976.05078125,22994.5,22972.94921875,22990.75,0
2025-02-12 09:20:00+00:00,22983.55078125,22985.900390625,22968.0,22977.150390625,0
2025-02-12 09:25:00+00:00,22989.44921875,22998.349609375,22980.19921875,22983.44921875,0
2025-02-12 09:30:00+00:00,23030.94921875,23031.650390625,22988.69921875,22988.69921875,0
2025-02-12 09:35:00+00:00,23043.94921875,23059.650390625,23030.94921875,23030.94921875,0
2025-02-12 09:40:00+00:00,23051.55078125,23054.5,23039.19921875,23045.30078125,0
2025-02-12 09:45:00+00:00,23046.0,23061.349609375,23043.150390625,23050.849609375,0
2025-02-12 09:50:00+00:00,23057.94921875,23060.650390625,23045.75,23045.75,0
2025-02-12 09:55:00+00:00,23057.80078125,23063.19921875,23048.0,23057.80078125,0
2025-02-13 03:45:00+00:00,23080.44921875,23110.80078125,23055.849609375,23055.849609375,0
2025-02-13 03:50:00+00:00,23013.650390625,23096.900390625,22997.650390625,23081.44921875,0
2025-02-13 03:55:00+00:00,23025.25,23046.25,22992.650390625,23011.55078125,0
2025-02-13 04:00:00+00:00,23103.19921875,23106.650390625,23024.55078125,23024.900390625,0
2025-02-13 04:05:00+00:00,23101.400390625,23120.400390625,23087.75,23103.650390625,0
2025-02-13 04:10:00+00:00,23119.599609375,23128.55078125,23098.80078125,23101.150390625,0
2025-02-13 04:15:00+00:00,23133.80078125,23140.69921875,23119.349609375,23119.349609375,0
2025-02-13 04:20:00+00:00,23173.30078125,23174.44921875,23130.19921875,23133.69921875,0
2025-02-13 04:25:00+00:00,23173.94921875,23189.5,23157.80078125,23174.25,0
2025-02-13 04:30:00+00:00,23186.650390625,23191.849609375,23167.75,23176.5,0
2025-02-13 04:35:00+00:00,23170.599609375,23192.0,23164.80078125,23186.44921875,0
2025-02-13 04:40:00+00:00,23171.69921875,23185.75,23156.44921875,23170.099609375,0
2025-02-13 04:45:00+00:00,23176.0,23190.599609375,23172.0,23172.0,0
2025-02-13 04:50:00+00:00,23158.400390625,23181.19921875,23147.650390625,23175.900390625,0
2025-02-13 04:55:00+00:00,23147.400390625,23163.900390625,23131.75,23157.55078125,0
2025-02-13 05:00:00+00:00,23170.75,23177.5,23138.55078125,23147.44921875,0
2025-02-13 05:05:00+00:00,23202.900390625,23206.599609375,23170.0,23170.599609375,0
2025-02-13 05:10:00+00:00,23190.5,23208.900390625,23190.25,23202.349609375,0
2025-02-13 05:15:00+00:00,23185.69921875,23201.650390625,23179.75,23191.19921875,0
2025-02-13 05:20:00+00:00,23190.80078125,23192.25,23177.55078125,23185.69921875,0
2025-02-13 05:25:00+00:00,23176.55078125,23190.599609375,23173.05078125,23190.599609375,0
2025-02-13 05:30:00+00:00,23179.5,23205.0,23169.80078125,23177.0,0
2025-02-13 05:35:00+00:00,23168.099609375,23187.55078125,23159.400390625,23179.55078125,0
2025-02-13 05:40:00+00:00,23181.30078125,23181.30078125,23160.849609375,23168.150390625,0
2025-02-13 05:45:00+00:00,23193.25,23195.900390625,23179.80078125,23181.400390625,0
2025-02-13 05:50:00+00:00,23190.150390625,23193.69921875,23183.5,23192.30078125,0
2025-02-13 05:55:00+00:00,23196.900390625,23199.900390625,23185.75,23190.05078125,0
2025-02-13 06:00:00+00:00,23201.94921875,23205.849609375,23193.75,23197.0,0
2025-02-13 06:05:00+00:00,23200.099609375,23210.150390625,23195.19921875,23202.099609375,0
2025-02-13 06:10:00+00:00,23222.44921875,23226.44921875,23194.05078125,23199.849609375,0
2025-02-13 06:15:00+00:00,23219.900390625,23234.05078125,23207.900390625,23223.599609375,0
2025-02-13 06:20:00+00:00,23223.650390625,23235.19921875,23216.849609375,23219.94921875,0
2025-02-13 06:25:00+00:00,23220.849609375,23226.900390625,23215.80078125,23223.69921875,0
2025-02-13 06:30:00+00:00,23219.94921875,23225.80078125,23217.5,23220.75,0
2025-02-13 06:35:00+00:00,23213.55078125,23224.55078125,23211.0,23220.099609375,0
2025-02-13 06:40:00+00:00,23195.80078125,23216.44921875,23185.25,23212.650390625,0
2025-02-13 06:45:00+00:00,23205.80078125,23210.0,23190.099609375,23195.69921875,0
2025-02-13 06:50:00+00:00,23190.599609375,23205.900390625,23183.19921875,23205.650390625,0
2025-02-13 06:55:00+00:00,23195.099609375,23200.900390625,23188.5,23191.400390625,0
2025-02-13 07:00:00+00:00,23203.099609375,23206.849609375,23189.099609375,23195.75,0
2025-02-13 07:05:00+00:00,23191.05078125,23204.30078125,23189.19921875,23202.849609375,0
2025-02-13 07:10:00+00:00,23195.099609375,23198.05078125,23176.150390625,23191.55078125,0
2025-02-13 07:15:00+00:00,23197.44921875,23206.55078125,23190.599609375,23194.69921875,0
2025-02-13 07:20:00+00:00,23188.150390625,23198.599609375,23182.69921875,23197.0,0
2025-02-13 07:25:00+00:00,23190.19921875,23191.650390625,23183.400390625,23188.19921875,0
2025-02-13 07:30:00+00:00,23185.55078125,23200.650390625,23177.44921875,23191.150390625,0
2025-02-13 07:35:00+00:00,23181.5,23186.69921875,23179.25,23185.599609375,0
2025-02-13 07:40:00+00:00,23153.099609375,23182.80078125,23153.099609375,23180.80078125,0
2025-02-13 07:45:00+00:00,23166.69921875,23170.650390625,23144.05078125,23152.75,0
2025-02-13 07:50:00+00:00,23155.69921875,23177.650390625,23154.69921875,23166.099609375,0
2025-02-13 07:55:00+00:00,23151.05078125,23161.19921875,23131.849609375,23155.80078125,0
2025-02-13 08:00:00+00:00,23109.650390625,23153.5,23105.44921875,23150.80078125,0
2025-02-13 08:05:00+00:00,23080.400390625,23110.099609375,23072.05078125,23107.55078125,0
2025-02-13 08:10:00+00:00,23086.19921875,23092.150390625,23054.55078125,23079.900390625,0
2025-02-13 08:15:00+00:00,23057.80078125,23087.80078125,23055.150390625,23087.150390625,0
2025-02-13 08:20:00+00:00,23066.150390625,23086.75,23043.599609375,23058.150390625,0
2025-02-13 08:25:00+00:00,23077.900390625,23097.05078125,23065.0,23068.0,0
2025-02-13 08:30:00+00:00,23097.5,23102.0,23078.55078125,23079.599609375,0
2025-02-13 08:35:00+00:00,23044.25,23099.400390625,23042.5,23097.25,0
2025-02-13 08:40:00+00:00,23063.0,23063.30078125,23032.69921875,23044.30078125,0
2025-02-13 08:45:00+00:00,23056.80078125,23074.5,23050.5,23063.650390625,0
2025-02-13 08:50:00+00:00,23053.650390625,23066.44921875,23046.150390625,23054.650390625,0
2025-02-13 08:55:00+00:00,23056.599609375,23066.05078125,23047.349609375,23055.150390625,0
2025-02-13 09:00:00+00:00,23032.099609375,23056.80078125,23028.150390625,23056.75,0
2025-02-13 09:05:00+00:00,23023.349609375,23032.150390625,23004.69921875,23032.150390625,0
2025-02-13 09:10:00+00:00,23022.19921875,23035.44921875,23007.80078125,23023.19921875,0
2025-02-13 09:15:00+00:00,23043.599609375,23045.05078125,23016.55078125,23022.349609375,0
2025-02-13 09:20:00+00:00,23055.69921875,23056.599609375,23029.55078125,23043.349609375,0
2025-02-13 09:25:00+00:00,23050.849609375,23056.400390625,23040.25,23055.94921875,0
2025-02-13 09:30:00+00:00,23024.75,23063.80078125,23023.69921875,23052.150390625,0
2025-02-13 09:35:00+00:00,23040.599609375,23040.599609375,23019.75,23025.5,0
2025-02-13 09:40:00+00:00,23030.150390625,23044.05078125,23022.55078125,23040.5,0
2025-02-13 09:45:00+00:00,23030.5,23039.650390625,23028.69921875,23030.400390625,0
2025-02-13 09:50:00+00:00,23023.80078125,23035.30078125,23022.0,23030.05078125,0
2025-02-13 09:55:00+00:00,23019.400390625,23028.099609375,23014.400390625,23023.599609375,0
2025-02-14 03:45:00+00:00,23093.099609375,23133.25,23089.19921875,23096.69921875,0
2025-02-14 03:50:00+00:00,23087.69921875,23100.5,23067.5,23092.05078125,0
2025-02-14 03:55:00+00:00,23029.349609375,23090.55078125,23026.94921875,23088.19921875,0
2025-02-14 04:00:00+00:00,23020.849609375,23039.55078125,23010.0,23027.19921875,0
2025-02-14 04:05:00+00:00,23059.400390625,23070.94921875,23007.30078125,23020.0,0
2025-02-14 04:10:00+00:00,23043.19921875,23063.0,23034.69921875,23059.25,0
2025-02-14 04:15:00+00:00,23049.19921875,23052.94921875,23024.099609375,23042.900390625,0
2025-02-14 04:20:00+00:00,23017.900390625,23074.400390625,23017.900390625,23048.75,0
2025-02-14 04:25:00+00:00,23051.05078125,23065.5,23016.80078125,23018.349609375,0
2025-02-14 04:30:00+00:00,23070.650390625,23074.150390625,23047.849609375,23050.5,0
2025-02-14 04:35:00+00:00,23069.75,23094.349609375,23055.69921875,23070.900390625,0
2025-02-14 04:40:00+00:00,23043.0,23070.099609375,23041.55078125,23069.05078125,0
2025-02-14 04:45:00+00:00,23073.80078125,23079.30078125,23041.0,23042.75,0
2025-02-14 04:50:00+00:00,23078.30078125,23080.75,23060.0,23073.75,0
2025-02-14 04:55:00+00:00,23032.650390625,23082.25,23031.19921875,23078.599609375,0
2025-02-14 05:00:00+00:00,23026.150390625,23045.55078125,23025.30078125,23033.05078125,0
2025-02-14 05:05:00+00:00,22951.75,23029.80078125,22946.150390625,23029.150390625,0
2025-02-14 05:10:00+00:00,22924.0,22954.25,22920.19921875,22951.150390625,0
2025-02-14 05:15:00+00:00,22898.650390625,22934.150390625,22886.150390625,22923.900390625,0
2025-02-14 05:20:00+00:00,22904.099609375,22912.55078125,22890.5,22899.25,0
2025-02-14 05:25:00+00:00,22912.19921875,22915.69921875,22900.150390625,22903.0,0
2025-02-14 05:30:00+00:00,22874.099609375,22919.599609375,22873.0,22912.0,0
2025-02-14 05:35:00+00:00,22846.30078125,22875.75,22845.19921875,22873.55078125,0
2025-02-14 05:40:00+00:00,22893.94921875,22901.650390625,22843.349609375,22844.69921875,0
2025-02-14 05:45:00+00:00,22863.25,22895.05078125,22862.75,22893.349609375,0
2025-02-14 05:50:00+00:00,22862.5,22886.05078125,22856.349609375,22863.05078125,0
2025-02-14 05:55:00+00:00,22854.80078125,22878.099609375,22854.69921875,22862.55078125,0
2025-02-14 06:00:00+00:00,22871.650390625,22880.400390625,22848.849609375,22854.55078125,0
2025-02-14 06:05:00+00:00,22848.599609375,22878.94921875,22846.75,22871.80078125,0
2025-02-14 06:10:00+00:00,22901.150390625,22902.0,22846.05078125,22848.5,0
2025-02-14 06:15:00+00:00,22889.25,22908.650390625,22888.849609375,22902.5,0
2025-02-14 06:20:00+00:00,22897.900390625,22905.80078125,22886.94921875,22889.0,0
2025-02-14 06:25:00+00:00,22918.69921875,22922.349609375,22889.349609375,22897.5,0
2025-02-14 06:30:00+00:00,22850.099609375,22921.94921875,22849.75,22919.44921875,0
2025-02-14 06:35:00+00:00,22824.849609375,22865.150390625,22818.599609375,22849.80078125,0
2025-02-14 06:40:00+00:00,22842.05078125,22846.05078125,22821.94921875,22825.400390625,0
2025-02-14 06:45:00+00:00,22826.55078125,22852.400390625,22826.55078125,22842.19921875,0
2025-02-14 06:50:00+00:00,22831.849609375,22840.349609375,22815.25,22826.69921875,0
2025-02-14 06:55:00+00:00,22847.69921875,22857.94921875,22830.55078125,22832.44921875,0
2025-02-14 07:00:00+00:00,22836.44921875,22848.5,22832.150390625,22847.400390625,0
2025-02-14 07:05:00+00:00,22865.30078125,22866.94921875,22834.55078125,22836.25,0
2025-02-14 07:10:00+00:00,22835.94921875,22865.55078125,22834.80078125,22865.25,0
2025-02-14 07:15:00+00:00,22823.5,22846.19921875,22823.05078125,22835.650390625,0
2025-02-14 07:20:00+00:00,22827.849609375,22852.69921875,22820.75,22823.55078125,0
2025-02-14 07:25:00+00:00,22802.69921875,22838.099609375,22801.69921875,22828.400390625,0
2025-02-14 07:30:00+00:00,22786.400390625,22815.30078125,22775.5,22803.400390625,0
2025-02-14 07:35:00+00:00,22788.150390625,22801.80078125,22785.099609375,22786.69921875,0
2025-02-14 07:40:00+00:00,22806.349609375,22812.150390625,22787.150390625,22788.30078125,0
2025-02-14 07:45:00+00:00,22830.849609375,22841.94921875,22800.400390625,22805.900390625,0
2025-02-14 07:50:00+00:00,22832.099609375,22850.150390625,22820.05078125,22830.94921875,0
2025-02-14 07:55:00+00:00,22839.0,22849.75,22827.44921875,22832.349609375,0
2025-02-14 08:00:00+00:00,22838.349609375,22845.05078125,22825.44921875,22838.94921875,0
2025-02-14 08:05:00+00:00,22801.94921875,22838.44921875,22794.900390625,22838.44921875,0
2025-02-14 08:10:00+00:00,22812.099609375,22816.849609375,22799.44921875,22801.94921875,0
2025-02-14 08:15:00+00:00,22792.94921875,22818.05078125,22792.75,22813.05078125,0
